MSOA11CD,Local authority,covid_19_deaths_per_thousand,total_population_mid_2018,death_rate,over_70_prop,proportion_at_risk_jobs,all_black_prop,Hypertension,Obesity (18+),Diabetes
E02000001,City of London,0.344589938,8706,0.039580742,0.123592924,0.120794148,0.026169492,7.95,3.62,2.7
E02000002,Barking and Dagenham,0.259067358,7720,0.033557948,0.10388601,0.345813205,0.167232472,9.26,6.15,4.99
E02000003,Barking and Dagenham,0.271468645,11051,0.024565075,0.085965071,0.30909892,0.161075162,10.33,7.6,5.79
E02000004,Barking and Dagenham,1.366535074,6586,0.207490901,0.124658366,0.311406578,0.104982206,9.34,8.36,4.95
E02000005,Barking and Dagenham,0.488806335,10229,0.047786327,0.066282139,0.33713491,0.168768979,9.37,8.79,5.15
E02000007,Barking and Dagenham,0.889064507,10123,0.087826189,0.0807073,0.350692354,0.227164145,10.12,7.25,4.76
E02000008,Barking and Dagenham,0.791452315,12635,0.062639677,0.072497032,0.330408074,0.173740168,10.26,8.89,5.58
E02000009,Barking and Dagenham,0.603864734,11592,0.052093231,0.047532781,0.33238068,0.188326385,9.74,7.36,5.09
E02000010,Barking and Dagenham,0.652386648,9197,0.070934723,0.064586278,0.330713246,0.190481718,10.45,9.12,4.86
E02000011,Barking and Dagenham,0.859229557,6983,0.123045905,0.092080768,0.32542251,0.185227089,10.88,8.37,4.99
E02000012,Barking and Dagenham,0.265721878,11290,0.023536039,0.076173605,0.297468354,0.097997573,10.98,8.13,6.9
E02000013,Barking and Dagenham,0.449488707,8899,0.050510024,0.063265535,0.336147121,0.177576767,10.22,7.91,4.93
E02000014,Barking and Dagenham,0.299520767,10016,0.02990423,0.073981629,0.338688438,0.175494576,9.98,9.71,4.98
E02000015,Barking and Dagenham,0.371793283,8069,0.046076748,0.064939893,0.32538036,0.252941954,9.71,8.48,4.68
E02000016,Barking and Dagenham,0.100563154,9944,0.010112948,0.021520515,0.308330772,0.270062533,7.69,6.63,5.05
E02000017,Barking and Dagenham,0.321508949,9331,0.034456001,0.059050477,0.304440308,0.12544128,9.41,7.85,6.67
E02000018,Barking and Dagenham,0.612932884,9789,0.062614453,0.056491981,0.341101078,0.198987627,10.33,7.91,5.18
E02000019,Barking and Dagenham,0.546567556,9148,0.059747219,0.060668999,0.328301887,0.220637989,10.87,9.84,5.38
E02000020,Barking and Dagenham,0.153668844,13015,0.011807057,0.054936612,0.319638455,0.217119448,9.3,7.96,5.74
E02000021,Barking and Dagenham,0.668896321,8970,0.074570381,0.068896321,0.318113548,0.280743927,10.21,8.78,4.89
E02000022,Barking and Dagenham,0.359109409,8354,0.042986522,0.029087862,0.34629445,0.358778626,8.06,7.52,5.19
E02000023,Barking and Dagenham,0.250469631,7985,0.031367518,0.032936756,0.344956413,0.360536871,8.82,7.84,4.94
E02000024,Barnet,0.546050237,10988,0.049695143,0.147524572,0.242840779,0.023828279,12.19,4.93,4.76
E02000025,Barnet,1.419950302,8451,0.168021572,0.1199858,0.262347188,0.046505782,10.36,5.5,4.55
E02000026,Barnet,0.301704631,6629,0.045512842,0.137124755,0.259016393,0.037858387,11.36,5.24,4.74
E02000027,Barnet,0.922792987,9753,0.094616322,0.111452886,0.301236329,0.094394666,11.43,4.86,4.86
E02000028,Barnet,0.298819662,6693,0.044646595,0.117734947,0.244402985,0.048167369,10.73,5.52,4.54
E02000029,Barnet,0.746109572,9382,0.079525642,0.09166489,0.27076412,0.058706117,11.36,6.14,4.68
E02000030,Barnet,0.645994832,9288,0.069551554,0.168281654,0.236673774,0.039868565,11.11,4.77,4.4
E02000031,Barnet,1.423395445,7728,0.184186781,0.156573499,0.246617813,0.047573348,11.41,4.76,4.48
E02000032,Barnet,0.634276291,7883,0.080461283,0.134466574,0.260291819,0.035255186,12.38,5.98,5.03
E02000033,Barnet,0.78484135,8919,0.087996564,0.107747505,0.270210681,0.062902659,11.23,6.11,4.69
E02000034,Barnet,0.862440707,9276,0.092975497,0.119987063,0.259188997,0.055594734,11.59,5.04,4.64
E02000035,Barnet,1.443963123,9003,0.160386885,0.125402644,0.231781623,0.042686755,11.68,4.62,4.97
E02000036,Barnet,0.777403472,11577,0.067150684,0.103826553,0.277710843,0.123056874,11.43,6.08,5.51
E02000037,Barnet,1.059934477,10378,0.102132827,0.117074581,0.254222022,0.079149985,11.96,6.13,5.73
E02000038,Barnet,1.734304544,11532,0.150390613,0.09356573,0.253079507,0.078561917,10.41,5.11,4.99
E02000039,Barnet,0.825536599,7268,0.113585113,0.115850303,0.230357143,0.064868914,11.38,6.05,4.38
E02000040,Barnet,1.097560976,8200,0.133848899,0.109268293,0.255835962,0.097957482,10.81,5.26,4.4
E02000041,Barnet,0.702035904,9971,0.070407773,0.106709457,0.272967773,0.093632959,11.12,6.07,5.49
E02000042,Barnet,1.070046917,12149,0.088076954,0.10181908,0.245110353,0.052824514,11.66,4.64,5.27
E02000043,Barnet,0.610128127,8195,0.074451266,0.111897498,0.210192765,0.026117464,11.58,4.73,5.53
E02000044,Barnet,0.563443768,8874,0.063493776,0.070655849,0.304323878,0.150043365,10.7,7.49,5.3
E02000045,Barnet,0.275027503,10908,0.025213376,0.075907591,0.279475127,0.088600176,9.41,5.34,4.61
E02000046,Barnet,0.527565286,7582,0.069581283,0.090873121,0.232106855,0.039926377,10.32,4.18,5.17
E02000047,Barnet,0.564607195,12398,0.045540183,0.074205517,0.321277878,0.157126528,10.59,6.09,5.45
E02000048,Barnet,0.187881635,10645,0.017649754,0.120338187,0.241612111,0.062442701,10.01,4.33,4.25
E02000049,Barnet,0.43047783,9292,0.046327791,0.052195437,0.364990689,0.296248383,10.86,6.97,5.77
E02000050,Barnet,0.550206327,10905,0.0504545,0.095827602,0.257376396,0.09131558,10.82,4.57,5.39
E02000051,Barnet,0.825934338,9686,0.085270941,0.141647739,0.205495267,0.052503759,10.17,3.38,4.55
E02000052,Barnet,0.283393161,10586,0.026770561,0.089835632,0.219744059,0.061765312,8.53,2.93,3.76
E02000053,Barnet,0.063926357,15643,0.004086579,0.046474461,0.285371703,0.126250431,9.13,5.62,4.8
E02000054,Barnet,1.050420168,7616,0.137922816,0.081144958,0.250959956,0.091174022,9.69,4.67,4.22
E02000055,Barnet,0.590169463,11861,0.049757142,0.093246775,0.259433077,0.069631626,9.78,4.46,4.31
E02000056,Barnet,0.961846746,9357,0.102794351,0.141177728,0.178539427,0.021710812,9.49,3.89,3.5
E02000057,Barnet,1.104701117,8147,0.135596062,0.082116116,0.259237707,0.043693212,9.56,4.15,4.34
E02000058,Barnet,0.273997625,10949,0.0250249,0.128230889,0.211351459,0.033072407,9.27,3.34,3.46
